"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"관악구 청림동 주민센터 3층 따뜻한 청림방",청림동 주민센터,강의실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,10,24,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 관악로40길 39,,서울시 관악구 청림동주민센터,청림동 주민센터,02-879-4326,,37.49184654,126.9586273,2021-09-01
"관악구 행운동 자치회관 3층 다목적실",행운동 주민센터,다목적실,매주 토요일 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,150,260,책상+의자+노트북+빔프로젝터,인터넷+전화+모바일+방문,,서울특별시 관악구 행운1길 43,,서울시 관악구 행운동주민센터,행운동 주민센터,02-879-4357,,37.48064104,126.9570325,2021-09-01
"관악구 행운동 자치회관 2층 소회의실",행운동 주민센터,회의실,매주 토요일 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,20,37,책상+의자+노트북+빔프로젝터,인터넷+전화+모바일+방문,,서울특별시 관악구 행운1길 43,,서울시 관악구 행운동주민센터,행운동 주민센터,02-879-4357,,37.48064104,126.9570325,2021-09-01
"관악구 청룡동 주민센터 다목적실",청룡동 주민센터,다목적실,매주 토요일 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,100,162,책상+의자+방송시설,인터넷+전화+방문,,서울특별시 관악구 쑥고개로 45,,서울시 관악구 청룡동주민센터,청룡동 주민센터,02-879-4388,,37.47911714,126.9416394,2021-09-01
"관악구 청룡동 자치회관 지하1층 회의실",청룡동 자치회관,회의실,매주 토요일 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,20,42,책상+의자+방송시설,인터넷+전화+방문,,서울특별시 관악구 청룡9길 12-39,,서울시 관악구 청룡동주민센터,청룡동 주민센터,02-879-4388,,37.47804182,126.946471,2021-09-01
"관악구 낙성대동 자치회관 3층 다목적실 (복합문화방)",낙성대동 주민센터,다목적실,매주 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,20,60,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 낙성대로4가길 5,,서울시 관악구 낙성대동주민센터,낙성대동 주민센터,02-879-4416,,37.47629505,126.9583871,2021-09-01
"관악구 낙성대동 자치회관 5층 강의실",낙성대동 주민센터,강의실,매주 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,20,60,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 낙성대로4가길 5,,서울시 관악구 낙성대동주민센터,낙성대동 주민센터,02-879-4416,,37.47629505,126.9583871,2021-09-01
"관악구 낙성대동 자치회관 2층 회의실",낙성대동 주민센터,회의실,매주 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,15,60,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 낙성대로4가길 5,,서울시 관악구 낙성대동주민센터,낙성대동 주민센터,02-879-4416,,37.47629505,126.9583871,2021-09-01
"관악구 인헌동 주민센터 2층 다목적실",인헌동 주민센터,다목적실,매주 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,50,130,책상+의자+방송시설+노트북+빔프로젝터,인터넷+전화+방문,,서울특별시 관악구 남부순환로246가길 20,,서울시 관악구 인헌동주민센터,인헌동 주민센터,02-879-4448,,37.47510075,126.9653247,2021-09-01
"관악구 인헌동 주민센터 3층 취미실",인헌동 주민센터,다목적실,매주 토요일 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,30,72,책상+의자,인터넷+전화+방문,,서울특별시 관악구 남부순환로246가길 20,,서울시 관악구 인헌동주민센터,인헌동 주민센터,02-879-4448,,37.47510075,126.9653247,2021-09-01
"관악구 남현동 자치회관 4층 프로그램2실",남현동 주민센터,강의실,매주 토요일 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,30,66,책상+의자+방송시설,인터넷+전화+모바일+방문,,서울특별시 관악구 남현1가길 29,,서울시 관악구 남현동주민센터,남현동 주민센터,02-879-4477,,37.4746893,126.9778736,2021-09-01
"관악구 신림동 자치회관 2층 회의실",신림동 주민센터,회의실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,50,132,책상+의자+음향시설+노트북+빔프로젝터,인터넷+전화+모바일+방문,,서울특별시 관악구 신림동길 14,,서울시 관악구 신림동주민센터,신림동 주민센터,02-879-4505,,37.48739474,126.9271147,2021-09-01
"관악구 신사동 주민센터 2층 회의실",신사동 주민센터,회의실,매주 토요일 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,30,85,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 조원로 142,,서울시 관악구 신사동주민센터,신사동 주민센터,02-879-4535,,37.48541022,126.9180938,2021-09-01
"관악구 신사동 자치회관 3층 강의실",신사동 자치회관,강의실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,30,85,책상+의자+피아노,인터넷+전화+모바일+방문,,서울특별시 관악구 조원로 151-1,,서울시 관악구 신사동주민센터,신사동 주민센터,02-879-4535,,37.48595152,126.9191018,2021-09-01
"관악구 조원동 자치회관 2층 회의실",조원동 주민센터,회의실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,50,114,책상+의자+방송시설,인터넷+전화+모바일+방문,,서울특별시 관악구 조원로12길 25,,서울시 관악구 조원동주민센터,조원동 주민센터,02-879-4564,,37.48256265,126.9077946,2021-09-01
"관악구 조원동 자치회관 지하2층 다목적실",조원동 주민센터,다목적실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,50,115,책상+의자+방송시설,인터넷+전화+모바일+방문,,서울특별시 관악구 조원로12길 25,,서울시 관악구 조원동주민센터,조원동 주민센터,02-879-4564,,37.48256265,126.9077946,2021-09-01
"관악구 미성동 주민센터 2층 회의실",미성동 주민센터,회의실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,40,90,책상+의자+방송시설,인터넷+전화+모바일+방문,,서울특별시 관악구 난곡로 249,,서울시 관악구 미성동주민센터,미성동 주민센터,02-879-4593,,37.47617489,126.9155534,2021-09-01
"관악구 난곡동 자치회관 2층 음악실",난곡동 주민센터,강의실,매주 토요일 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,12,40,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 난곡로30길 40,,서울시 관악구 난곡동주민센터,난곡동 주민센터,02-879-4631,,37.47102171,126.9216411,2021-09-01
"관악구 난곡동 자치회관 3층 취미교실",난곡동 주민센터,강의실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,15,48,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 난곡로30길 40,,서울시 관악구 난곡동주민센터,난곡동 주민센터,02-879-4631,,37.47102171,126.9216411,2021-09-01
"관악구 난향동 자치회관 4층 소회의실",난향동 주민센터,회의실,매주 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,30,79,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 난곡로 67,,서울시 관악구 난향동주민센터,난향동 주민센터,02-879-4656,,37.46151953,126.9187981,2021-09-01
"관악구 난향동 자치회관 4층 취미교양실",난향동 주민센터,다목적실,매주 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,20,54,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 난곡로 67,,서울시 관악구 난향동주민센터,난향동 주민센터,02-879-4656,,37.46151953,126.9187981,2021-09-01
"관악구 서원동 자치회관 3층 동아리방",서원동 주민센터,강의실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,10,13,책상+의자,인터넷+전화+방문,,서울특별시 관악구 신림로 282,,서울시 관악구 서원동주민센터,서원동 주민센터,02-879-4684,,37.47976755,126.9313731,2021-09-01
"관악구 서림동 자치회관 1층 주민사랑방",서림동 주민센터,기타,매주 토요일 일요일,09:00,18:00,00:00,00:00,N,,,,,18,59,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 신림로29길 6,,서울시 관악구 서림동주민센터,서림동 주민센터,02-879-4750,,37.47499425,126.9349997,2021-09-01
"관악구 삼성동 자치회관 2층 다목적실",삼성동 자치회관,다목적실,매주 토요일 일요일,09:00,18:00,00:00,00:00,Y,1,6000,,,15,28,책상+의자+방송시설,인터넷+전화+모바일+방문,,서울특별시 관악구 호암로 520,,서울시 관악구 삼성동주민센터,삼성동 주민센터,02-879-4850,,37.46411547,126.931826,2021-09-01
"관악구 대학동 자치회관 2층 회의실",대학동 주민센터,회의실,매주 일요일,09:00,18:00,09:00,17:00,Y,1,(평일)6000+(주말)7500,,,50,68,책상+의자+방송시설,인터넷+전화+방문,,서울특별시 관악구 신림로 111,,서울시 관악구 대학동주민센터,대학동 주민센터,02-879-4810,,37.47059478,126.9369569,2021-09-01
