"관리번호",공원명,공원구분,소재지지번주소,소재지도로명주소,위도(WGS84좌표),경도(WGS84좌표),공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,연락처,데이터기준일자
11380-00045,구현초교앞마을마당,소공원,서울특별시 은평구 구산동  산41-19,,37.609251,126.906560,541,,,화장실,,,2006-12-07,은평구시설관리공단,02-350-5254,2015-09-01
11380-00046,구산초교앞마을마당,소공원,서울특별시 은평구 구산동  153-2,,37.611787,126.909981,135,,,,,,2006-12-07,은평구시설관리공단,02-350-5254,2015-09-01
11380-00047,구산동청사앞소공원,소공원,서울특별시 은평구 구산동  27-7,,37.611442,126.910162,336,,,,,,2008-01-17,은평구시설관리공단,02-350-5254,2015-09-01
11380-00048,구산동마을공원,소공원,서울특별시 은평구 구산동  340-1,,37.614762,126.907901,2811,,조합놀이대,화장실,,,2005-05-19,은평구시설관리공단,02-350-5254,2015-09-01
11380-00049,대조마을마당,소공원,서울특별시 은평구 대조동  48-42,,37.610501,126.918888,184,,,,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00050,대조동청사옆마을마당,소공원,서울특별시 은평구 대조동  214-8,,37.614034,126.920502,130,,,,,,2004-03-05,은평구시설관리공단,02-350-5254,2015-09-01
11380-00051,살구나무가있는마을마당,소공원,서울특별시 은평구 응암1동  54-1,,37.599395,126.932051,304,,,,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00052,응암1동마을마당,소공원,서울특별시 은평구 응암1동  97-17,,37.599915,126.925992,635,,조합놀이대,,,,2004-11-15,은평구시설관리공단,02-350-5254,2015-09-01
11380-00053,응암마을마당,소공원,서울특별시 은평구 응암2동  443-25,,37.595602,126.919066,155,,,,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00054,응암2동마을마당,소공원,서울특별시 은평구 응암2동  427-76,,37.594288,126.919595,632,,조합놀이대,,,,2007-03-22,은평구시설관리공단,02-350-5254,2015-09-01
11380-00055,응암3동마을마당,소공원,서울특별시 은평구 응암3동  337-52,,37.588870,126.919615,518,,,,,,2006-12-07,은평구시설관리공단,02-350-5254,2015-09-01
11380-00056,역촌동마을마당,소공원,서울특별시 은평구  역촌동  2-108,,37.608360,126.919486,230,,,,,,2001-09-15,은평구시설관리공단,02-350-5254,2015-09-01
11380-00057,역촌2동마을마당,소공원,서울특별시 은평구 역촌동  62-21,,37.604686,126.915235,396,,조합놀이대,,,,2003-08-30,은평구시설관리공단,02-350-5254,2015-09-01
11380-00058,신사마을마당,소공원,서울특별시 은평구 신사2동  241-20,,37.597018,126.906734,203,,"조합놀이대,흔들놀이",,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00059,신사2동마을마당,소공원,서울특별시 은평구 신사2동  200-170,,37.593894,126.908112,175,,,,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00060,자투리토지신사마을마당,소공원,서울특별시 은평구 신사2동  300-153,,37.591562,126.902567,236,,,,,,,은평구시설관리공단,02-350-5254,2015-09-01
11380-00061,수색마을마당,소공원,서울특별시 은평구 수색동  337-3,,37.585195,126.891941,387,,조합놀이대,,,,2000-06-19,은평구시설관리공단,02-350-5254,2015-09-01
11380-00062,응암2오손길마을마당,소공원,서울특별시 은평구 응암동  365-30,,37.591827,126.918252,139,,,,,,2010-03-25,은평구시설관리공단,02-350-5254,2015-09-01
11380-00063,신사동공공공지,소공원,서울특별시 은평구 신사동  163-51,,37.590721,126.905813,1848,,,,,,1990-05-21,은평구시설관리공단,02-350-5254,2015-09-01
11380-00064,팜스퀘어옆소공원,소공원,서울특별시 은평구 대조동  240-3,,37.609041,126.929362,269,,,,,,2010-06-21,은평구시설관리공단,02-350-5254,2015-09-01
