관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,노인복지시설개수,버스정류장개수,지하철역개수
11230-00019,배봉산,근린공원,서울특별시 동대문구 한천로43길 12-14,서울특별시 동대문구 전농동 산 32-20,37.5806921980698,127.064358844049,232813.7,"배드민턴장, 지압보도","조합놀이대, 그네, 흔들놀이대, 모래놀이터","화장실, 음수전",야외공연장,"황톳길,무장애길,야생화단지,유아숲체험장",1997/12/24,서울특별시 동대문구청,02-2127-4775,2021/06/25,3,0,0
11230-00027,보림,어린이공원,서울특별시 동대문구 휘경로12길 71,서울특별시 동대문구 휘경동 179-9,37.5924232669355,127.061383201284,1592.0,,조합놀이대,,,,2004/06/05,서울특별시 동대문구청,02-2127-4776,2021/06/25,12,4,0
11230-00030,용두,근린공원,,서울특별시 동대문구 용두동 34-1,37.573225401116,127.040095529989,17182.0,,"조합놀이대, 흔들놀이대",음수전,야외공연장,"환경자원센터,바닥분수,계류",2006/11/09,서울특별시 동대문구청,02-2127-4772,2021/06/25,1,6,1
11230-00031,텃골,근린공원,,서울특별시 동대문구 전농동 690-1,37.5775798265793,127.051663754651,5408.0,,"조합놀이대, 흔들놀이대",음수전,,계류,2007/04/24,서울특별시 동대문구청,02-2127-4772,2021/06/25,8,2,0
11230-00032,새샘,근린공원,,서울특별시 동대문구 답십리동 1004-7,37.5694865698647,127.055204889928,9052.0,,"조합놀이대, 그네, 회전무대",음수전,,"바닥분수, 계류",2007/11/01,서울특별시 동대문구청,02-2127-4772,2021/06/25,8,5,0
11230-00037,아름드리,어린이공원,,서울특별시 동대문구 전농동 688-7,37.579109626065,127.059683868618,2626.5,,"조합놀이대, 흔들놀이, 회전놀이, 시소, 모래놀이터",음수전,,,2011/06/15,서울특별시 동대문구청,02-2127-4776,2021/06/25,5,6,0
11230-00038,선농단,역사공원,서울특별시 동대문구 무학로44길 38,서울특별시 동대문구 제기동 274-1,37.5809954969672,127.032103645221,3933.0,,,,,,2012/08/23,서울특별시 동대문구청,02-2127-4776,2021/06/25,4,7,0
11230-00040,진달래,어린이공원,,서울특별시 동대문구 휘경동 49-384,37.5844983620868,127.068662566768,2345.0,,"조합놀이대, 그네",,,,2014/12/04,서울특별시 동대문구청,02-2127-4776,2021/06/25,3,8,0
11230-00041,솔바람,소공원,,서울특별시 동대문구 용두동 794-1,37.5798586219573,127.030406134769,1763.2,,,,,,2015/04/16,서울특별시 동대문구청,02-2127-4776,2021/06/25,3,7,0
11230-00042,샛말,어린이공원,,서울특별시 동대문구 전농동 695-1,37.5774901179178,127.050130534321,2545.0,,"조합놀이대, 그네, 흔들놀이, 모래놀이터",음수전,,,2008/09/11,서울특별시 동대문구청,02-2127-4776,2021/06/25,9,4,0
11230-00043,새움,어린이공원,,서울특별시 동대문구 답십리동 1009-1,37.5707602069085,127.048674051574,2107.0,,"조합놀이대, 시소, 그네, 흔들놀이, 모래놀이터",음수전,,,2006/04/06,서울특별시 동대문구청,02-2127-4776,2021/06/25,2,9,1
11230-00044,휘경2구역(명칭제정중),어린이공원,,서울특별시 동대문구 휘경동 372-2,37.593511125114,127.067802818147,3426.3,,"조합놀이대, 시소, 그네, 흔들놀이, 모래놀이터",,,,2006/10/19,서울특별시 동대문구청,02-2127-4776,2021/06/25,7,6,0
